source,target,verb,sentiment,passive,label_s,label_o
zelensky,ukraine,see,0.0,False,UKR_POLITICAL,UKR_POLITICAL
usa,zelensky,bless,-0.513933002948761,False,WEST_ACTORS,UKR_POLITICAL
zelensky,eu,demand,-0.7619955539703369,False,UKR_POLITICAL,WEST_ACTORS
ukraine,russia,buy,0.0,False,UKR_POLITICAL,RU_POLITICAL
putin,zelensky,meet,0.0,False,RU_POLITICAL,UKR_POLITICAL
putin,ukraine,like,-0.677008867263794,False,RU_POLITICAL,UKR_POLITICAL
ukraine,zelensky,read,-0.8404396772384644,False,UKR_POLITICAL,UKR_POLITICAL
russia,kiev,take,0.0,False,RU_POLITICAL,UKR_POLITICAL
kiev,russia,hurt,-0.8842660188674927,False,UKR_POLITICAL,RU_POLITICAL
zelensky,ukraine,promise,-0.7050559520721436,False,UKR_POLITICAL,UKR_POLITICAL
usa,ukraine,do,-0.7697479724884033,False,WEST_ACTORS,UKR_POLITICAL
eu,ukraine,provide,0.0,False,WEST_ACTORS,UKR_POLITICAL
putin,ukraine,threaten,-0.5720254778862,False,RU_POLITICAL,UKR_POLITICAL
putin,zelensky,weep,-0.6506938934326172,False,RU_POLITICAL,UKR_POLITICAL
russia,usa,take,-0.7966157793998718,False,RU_POLITICAL,WEST_ACTORS
russia,usa,respect,0.0,False,RU_POLITICAL,WEST_ACTORS
zelensky,ukraine,bring,0.0,False,UKR_POLITICAL,UKR_POLITICAL
usa,eu,show,-0.7842293381690979,False,WEST_ACTORS,WEST_ACTORS
usa,russia,arrest,0.0,False,WEST_ACTORS,RU_POLITICAL
russia,usa,shoot,0.0,False,RU_POLITICAL,WEST_ACTORS
usa,russia,conduct,-0.567777693271637,False,WEST_ACTORS,RU_POLITICAL
usa,russia,pull,0.0,False,WEST_ACTORS,RU_POLITICAL
zelensky,russia,call,0.0,False,UKR_POLITICAL,RU_POLITICAL
putin,ukraine,mark,0.0,False,RU_POLITICAL,UKR_POLITICAL
eu,russia,deprive,-0.8009893298149109,False,WEST_ACTORS,RU_POLITICAL
eu,ukraine,provide,0.0,False,WEST_ACTORS,UKR_POLITICAL
zelensky,russia,meet,0.0,False,UKR_POLITICAL,RU_POLITICAL
zelensky,ukraine,turn,-0.7039554119110107,False,UKR_POLITICAL,UKR_POLITICAL
russia,ukraine,invite,0.0,False,RU_POLITICAL,UKR_POLITICAL
putin,ukraine,invite,0.0,False,RU_POLITICAL,UKR_POLITICAL
putin,zelensky,show,0.0,False,RU_POLITICAL,UKR_POLITICAL
russia,ukraine,invite,0.0,False,RU_POLITICAL,UKR_POLITICAL
putin,ukraine,invite,0.0,False,RU_POLITICAL,UKR_POLITICAL
usa,eu,instruct,-0.6247662901878357,False,WEST_ACTORS,WEST_ACTORS
usa,eu,instruct,-0.6247662901878357,False,WEST_ACTORS,WEST_ACTORS
zelensky,usa,ask,0.0,False,UKR_POLITICAL,WEST_ACTORS
russia,ukraine,see,0.0,False,RU_POLITICAL,UKR_POLITICAL
zelensky,eu,transmit,0.0,False,UKR_POLITICAL,WEST_ACTORS
zelensky,putin,bastarde,0.0,False,UKR_POLITICAL,RU_POLITICAL
kiev,ukraine,tame,-0.6594199538230896,False,UKR_POLITICAL,UKR_POLITICAL
putin,russia,express,0.0,True,RU_POLITICAL,RU_POLITICAL
usa,eu,instruct,-0.5640066266059875,False,WEST_ACTORS,WEST_ACTORS
zelensky,putin,invite,0.0,False,UKR_POLITICAL,RU_POLITICAL
russia,ukraine,oppose,0.0,False,RU_POLITICAL,UKR_POLITICAL
ukraine,russia,exceed,0.0,False,UKR_POLITICAL,RU_POLITICAL
ukraine,russia,exceed,0.0,False,UKR_POLITICAL,RU_POLITICAL
zelensky,russia,reject,-0.5925929546356201,False,UKR_POLITICAL,RU_POLITICAL
ukraine,russia,accept,0.0,False,UKR_POLITICAL,RU_POLITICAL
russia,eu,threaten,-0.8969748020172119,False,RU_POLITICAL,WEST_ACTORS
